Item, Full Name, Kaha Use Hota Hai, Function
Tee,Pipe Tee,Pipeline,Takes branch connection,
Thread Sealant,Liquid Thread Sealant,Threaded Pipe Joint,Prevents leakage,
Threaded Rod,Threaded Rod,Ceiling Pipe Support,Holds pipe hangers,
Union,Pipe Union,Threaded Pipe,Allows easy disconnection,
UPVC Pipe,Unplasticized Polyvinyl Chloride Pipe,Water Supply & Drainage,Transports water,
Urinal,Wall Hung Urinal,Public Toilet,Urine disposal,
Valve,Control Valve,Water Supply System,Controls water flow,
Vent Pipe,Vent Pipe (VP),Drainage System,Removes sewer gases,
Waste Coupling,Waste Coupling,Wash Basin & Sink,Connects fixture to waste pipe,
Waste Pipe,Waste Water Pipe (WWP),"Wash Basin, Sink, Shower",Carries wastewater,
Water Meter,Water Meter,Main Water Supply,Measures water consumption,
Water Hammer Arrestor,Water Hammer Arrestor,Water Supply Pipeline,Reduces water hammer pressure,
Y Tee,Wye Tee,Drainage Pipeline,Provides smooth branch connection,
Wye,45° Wye Fitting,Drainage System,Connects branch with less flow resistance,
Cleanout Plug,Cleanout Plug,Drainage Pipeline,Provides access for pipe cleaning,
Valve Box,Valve Box,Underground Valve,Protects underground valve,
Air Release Valve,Air Release Valve,Water Supply Pipeline,Releases trapped air,
Expansion Tank,Expansion Tank,Hot Water System,Absorbs pressure increase due to expansion,
Hydro Pneumatic Tank,Hydro Pneumatic Tank,Water Supply System,Maintains constant water pressure,
Pipe Insulation,Nitrile Rubber / Glass Wool Insulation,Hot & Cold Water Pipe,Reduces heat loss and condensation,
Aluminium Cladding,Aluminium Cladding,Insulated Pipe,Protects insulation from damage,
Unistrut Channel,Unistrut Channel Support,Pipe Support System,Supports multiple pipes,
Clevis Hanger,Clevis Pipe Hanger,Horizontal Ceiling Pipe,Suspends pipe from ceiling,
U Bolt,U Bolt,Pipe Rack,Fixes pipe to support,
Guide Support,Pipe Guide Support,Long Pipeline,Guides pipe movement,
Anchor Support,Pipe Anchor Support,Main Pipeline,Restricts pipe movement,
Spring Hanger,Spring Pipe Hanger,Hot Water Line,Absorbs thermal expansion and vibration,
Flexible Connector,Flexible Connector,Pump Connection,Reduces vibration,
Expansion Bellows,Metal Expansion Bellows,Industrial Pipeline,Compensates thermal expansion,
Pipe Marker,Pipe Identification Marker,Pipeline,Identifies pipe service,
Flow Arrow,Flow Direction Sticker,Pipeline,Shows flow direction,
Warning Tape,Underground Warning Tape,Underground Pipeline,Marks buried pipeline,
Pipe Label,Pipe Label,Building Services,Identifies pipeline,
Sleeve Seal,Mechanical Sleeve Seal,Pipe Passing Through Wall,Prevents water leakage,
Fire Stop Sealant,Fire Stop Sealant,Shaft & Slab Opening,Stops fire and smoke spread,
Rubber Pad,Anti Vibration Rubber Pad,Pump Base,Reduces vibration,
Base Plate,Pump Base Plate,Pump Installation,Supports pump foundation,
Foundation Bolt,Foundation Bolt,Pump & Support,Fixes equipment to foundation,
Drain Plug,Drain Plug,Pump & Tank,Drains water during maintenance,
Test Plug,Test Plug,Pipeline Testing,Temporarily seals pipe during testing,
Double Union Ball Valve,Double Union Ball Valve,UPVC/CPVC Pipeline,Easy valve removal and maintenance,
Knife Gate Valve,Knife Gate Valve,"STP, ETP, Slurry Line",Cuts through slurry and controls flow,
Foot Mounted Pump,Foot Mounted Centrifugal Pump,Pump Room,Pumps water with base-mounted motor,
Vertical Multistage Pump,Vertical Multistage Centrifugal Pump,Hydro Pneumatic System,Provides high pressure water,
Booster Pump,Water Booster Pump,High Rise Building,Increases water pressure,
Transfer Pump,Water Transfer Pump,UGT to OHT,Transfers water between tanks,
Jockey Pump,Jockey Pump,Fire Fighting System,Maintains fire line pressure,
Sump Pump,Sump Dewatering Pump,"Basement, Sump Pit",Removes collected water,
Sewage Pump,Sewage Submersible Pump,"STP, Sewer Pit",Pumps sewage water,
Drainage Pump,Drainage Pump,Drain Pit,Pumps wastewater,
Air Vessel,Air Vessel,Hydro Pneumatic System,Absorbs pressure fluctuations,
Pressure Switch,Pressure Switch,Pump Control Panel,Starts and stops pump automatically,
Float Switch,Float Level Switch,Water Tank,Senses water level,
Level Controller,Water Level Controller,UGT & OHT,Controls tank water level,
Pressure Transmitter,Pressure Transmitter,BMS & Pump Room,Sends pressure signal,
Flow Switch,Flow Switch,Fire Fighting & HVAC,Detects water flow,
Float Sensor,Float Sensor,Tank Monitoring,Measures water level,
Water Level Indicator,Water Level Indicator,Water Tank,Displays tank level,
Pump Control Panel,Pump Control Panel,Pump Room,Controls pump operation,
Motor Starter,DOL / Star Delta Starter,Pump Motor,Starts electric motor,
MCC Panel,Motor Control Center Panel,Pump Room,Controls multiple motors,
VFD Panel,Variable Frequency Drive Panel,Pump System,Controls motor speed,
Pressure Tank,Pressure Vessel,Hydro Pneumatic System,Stores pressurized water,
Expansion Vessel,Expansion Vessel,Hot Water System,Absorbs thermal expansion,
Y Strainer,Y Type Strainer,Pump Suction Line,Filters dirt before pump,
Basket Strainer,Basket Type Strainer,Large Water Line,Removes debris from water,
Air Separator,Air Separator,HVAC & Hot Water,Removes air from system,
Vacuum Breaker,Vacuum Breaker,Water Supply Line,Prevents back siphonage,
Backflow Preventer,Backflow Prevention Device,Drinking Water Line,Prevents contaminated reverse flow,
Sampling Valve,Water Sampling Valve,WTP & STP,Collects water samples for testing,
Pressure Sand Filter,Pressure Sand Filter (PSF),"WTP, STP",Removes suspended particles from water,
Activated Carbon Filter,Activated Carbon Filter (ACF),"WTP, RO Plant","Removes odor, color and chlorine",
Water Softener,Water Softener,"Boiler, Hot Water System",Removes hardness from water,
DM Plant,De-Mineralization Plant,Boiler & Industrial Plant,Removes dissolved minerals,
RO Plant,Reverse Osmosis Plant,Drinking Water System,Purifies water,
RO Membrane,Reverse Osmosis Membrane,RO Plant,Removes dissolved salts and impurities,
UV Sterilizer,Ultraviolet Sterilizer,Drinking Water System,Kills bacteria and viruses,
Ozonator,Ozone Generator,"WTP, Swimming Pool",Disinfects water using ozone,
Chlorinator,Chlorination System,"WTP, Swimming Pool",Adds chlorine for disinfection,
Dosing Pump,Chemical Dosing Pump,"WTP, STP",Adds treatment chemicals,
Chemical Tank,Chemical Storage Tank,"WTP, STP",Stores treatment chemicals,
FRP Vessel,Fiber Reinforced Plastic Vessel,"WTP, Softener",Holds filter media/resin,
Multiport Valve,Multiport Control Valve,Filter System,Controls filtration and backwash,
Cartridge Filter,Cartridge Filter,RO Plant,Removes fine particles,
Micron Filter,Micron Cartridge Filter,RO Plant,Filters microscopic particles,
Resin,Softener Resin,Water Softener,Removes calcium and magnesium,
Silica Sand,Silica Sand Media,Pressure Sand Filter,Filters suspended solids,
Activated Carbon,Activated Carbon Media,Carbon Filter,Removes chlorine and bad smell,
Gravel Media,Support Gravel,Filter Vessel,Supports filter media,
Brine Tank,Brine Solution Tank,Water Softener,Stores salt solution,
Salt Tablet,Water Softener Salt,Softener Plant,Regenerates resin,
UV Lamp,Ultraviolet Lamp,UV Sterilizer,Produces UV rays for disinfection,
TDS Meter,Total Dissolved Solids Meter,RO Plant,Measures water TDS,
pH Meter,pH Meter,"WTP, STP",Measures water pH value,
Conductivity Meter,Conductivity Meter,"WTP, Boiler",Measures electrical conductivity,
ORP Meter,Oxidation Reduction Potential Meter,"WTP, Swimming Pool",Measures oxidation potential,
Flow Indicator,Flow Indicator,WTP Pipeline,Shows water flow,
Sample Tap,Sample Collection Tap,"WTP, STP",Collects water samples,
Drain Funnel,Drain Funnel,Equipment Drain Line,Provides safe drain discharge,
Backwash Valve,Backwash Control Valve,Filter System,Controls filter backwashing,
Fire Hydrant,Fire Hydrant,Building & Outdoor,Provides water for firefighting,
Landing Valve,Landing Valve,Fire Hydrant Riser,Controls hydrant water outlet,
Hose Reel,Fire Hose Reel,Fire Fighting System,Provides first-aid firefighting,
Hose Reel Drum,Hose Reel Drum,Fire Hose Reel,Keeps hose properly wound,
Fire Hose,Canvas Rubber Lined Hose,Fire Fighting,Carries water to fire location,
Branch Pipe,Fire Branch Pipe,End of Fire Hose,Directs water jet,
Fire Nozzle,Fire Hose Nozzle,Fire Hose,End fitting to control water spray,
Breeching Inlet,Fire Brigade Breeching Inlet,Building Exterior,Allows fire brigade to pump water,
Fire Brigade Connection,Fire Brigade Connection,Building Entrance,External connection for fire service,
Sprinkler Head,Automatic Fire Sprinkler,Building Ceiling,Extinguishes fire automatically,
Pendant Sprinkler,Pendant Sprinkler,Ceiling,Downward water discharge,
Upright Sprinkler,Upright Sprinkler,Exposed Piping,Upward installation,
Sidewall Sprinkler,Sidewall Sprinkler,Wall Installation,Sprays water from wall,
Concealed Sprinkler,Concealed Sprinkler,False Ceiling,Hidden automatic sprinkler,
Alarm Valve,Wet Alarm Valve,Wet Riser System,Controls sprinkler water flow,
Deluge Valve,Deluge Valve,Deluge Fire System,Releases water to all sprinklers,
Pre Action Valve,Pre Action Valve,"Server Room, Data Center",Prevents accidental discharge,
OS&Y Valve,Outside Screw and Yoke Valve,Fire Pump Room,Indicates valve open/close position,
Butterfly Valve,Butterfly Valve,Fire Fighting Line,ON/OFF water flow,
Gate Valve,Gate Valve,Fire Water Line,Isolates pipeline,
Check Valve,Non Return Valve (NRV),Fire Pump Line,Prevents reverse flow,
Pressure Relief Valve,Pressure Relief Valve,Fire Pump System,Releases excess pressure,
Pressure Switch,Pressure Switch,Fire Pump Room,Starts pump on pressure drop,
Flow Switch,Flow Switch,Sprinkler System,Detects water flow,
Fire Pump,Main Fire Pump,Fire Pump Room,Supplies water during fire,
Jockey Pump,Jockey Pump,Fire Pump Room,Maintains system pressure,
Diesel Fire Pump,Diesel Engine Fire Pump,Fire Pump Room,Backup fire pump during power failure,
Test Header,Fire Pump Test Header,Fire Pump Room,Tests fire pump performance,
Hydrant Pillar,Outdoor Fire Hydrant,Outdoor Area,Provides firefighting water outside,
Fire Department Connection,Fire Department Connection (FDC),Building Exterior,Allows fire department to boost system pressure,
AHU,Air Handling Unit,HVAC System,Conditions and circulates air,
FCU,Fan Coil Unit,"Hotel, Office, Hospital",Cools or heats room air,
Chilled Water Pipe,Chilled Water Pipe,HVAC System,Carries chilled water,
Chilled Water Return,Chilled Water Return Pipe,HVAC System,Returns chilled water to chiller,
Condenser Water Pipe,Condenser Water Pipe,HVAC Plant,Carries condenser water,
Condenser Water Return,Condenser Water Return Pipe,HVAC Plant,Returns condenser water,
Cooling Tower,Cooling Tower,HVAC Plant,Rejects heat from condenser water,
Chiller,Water Chiller,HVAC Plant,Produces chilled water,
Balancing Valve,Manual Balancing Valve,HVAC Piping,Balances water flow,
PICV,Pressure Independent Control Valve,"AHU, FCU",Maintains constant flow,
Motorized Valve,Motorized Control Valve,HVAC System,Automatically controls water flow,
2 Way Valve,Two Way Control Valve,"AHU, FCU",Starts or stops water flow,
3 Way Valve,Three Way Control Valve,AHU,Diverts or mixes water flow,
Y Strainer,Y Type Strainer,HVAC Piping,Removes dirt from water,
Air Separator,Air Separator,HVAC System,Removes trapped air,
Dirt Separator,Dirt Separator,HVAC System,Removes dirt and sludge,
Expansion Tank,Expansion Tank,Chilled Water System,Absorbs thermal expansion,
Pressurization Unit,Pressurization Unit,HVAC Plant,Maintains system pressure,
Flexible Connector,Rubber Flexible Connector,Pump & AHU,Reduces vibration,
Vibration Isolator,Spring Vibration Isolator,Pump & Equipment,Minimizes vibration,
Thermometer,Dial Thermometer,HVAC Piping,Measures water temperature,
Temperature Gauge,Temperature Gauge,HVAC System,Displays water temperature,
Pressure Gauge,Pressure Gauge,HVAC Plant,Measures pressure,
Pressure Relief Valve,Pressure Relief Valve,HVAC System,Protects system from overpressure,
Automatic Air Vent,Automatic Air Vent,High Point of Pipeline,Releases trapped air,
Drain Valve,Drain Valve,HVAC Piping,Drains water during maintenance,
Butterfly Valve,Butterfly Valve,HVAC Piping,Isolates pipeline,
Gate Valve,Gate Valve,HVAC Piping,ON/OFF flow control,
Non Return Valve,Non Return Valve (NRV),Pump Discharge,Prevents reverse flow,
Pipe Insulation,Nitrile Rubber Insulation,Chilled Water Pipe,Prevents heat gain and condensation,
Pressure Switch,Pressure Switch,Pump Room,Starts and stops pump automatically,
Flow Switch,Flow Switch,Fire Fighting & HVAC,Detects water flow,
Float Switch,Float Level Switch,"UGT, OHT",Controls water level,
Float Sensor,Float Sensor,Water Tank,Senses water level,
Level Transmitter,Level Transmitter,Water Tank,Sends continuous level signal,
Level Indicator,Water Level Indicator,Water Tank,Displays water level,
Pressure Transmitter,Pressure Transmitter,Pump Room,Sends pressure signal to PLC/BMS,
Temperature Sensor,Temperature Sensor,HVAC,Measures water temperature,
Temperature Transmitter,Temperature Transmitter,HVAC,Sends temperature signal,
Flow Meter,Electromagnetic Flow Meter,Main Water Line,Measures water flow,
Ultrasonic Flow Meter,Ultrasonic Flow Meter,Large Water Line,Measures flow without pipe cutting,
Water Meter,Digital Water Meter,Building Inlet,Measures water consumption,
Energy Meter,Digital Energy Meter,Electrical Panel,Measures power consumption,
Volt Meter,Volt Meter,Electrical Panel,Measures voltage,
Ampere Meter,Ammeter,Electrical Panel,Measures current,
Frequency Meter,Frequency Meter,Control Panel,Measures supply frequency,
Power Factor Meter,Power Factor Meter,MCC Panel,Measures power factor,
Control Panel,Electrical Control Panel,Pump Room,Controls equipment,
Pump Control Panel,Pump Control Panel,Pump Room,Operates pumps automatically,
MCC Panel,Motor Control Center,Pump Room,Controls multiple motors,
VFD,Variable Frequency Drive,Booster Pump,Controls motor speed,
PLC,Programmable Logic Controller,BMS & Automation,Controls automatic operation,
BMS,Building Management System,Commercial Building,Monitors all building services,
Relay,Electrical Relay,Control Panel,Switches electrical circuit,
Contactor,Magnetic Contactor,Motor Control,Starts and stops motors,
MCB,Miniature Circuit Breaker,DB Panel,Protects electrical circuit,
MCCB,Moulded Case Circuit Breaker,Main Panel,Protects high current circuit,
ELCB,Earth Leakage Circuit Breaker,Electrical Panel,Protects against leakage current,
Isolator,Electrical Isolator,Control Panel,Isolates electrical supply,
Terminal Block,Terminal Block,Control Panel,Connects electrical wires,
Cable Tray,GI Cable Tray,Service Area,Supports electrical cables,
Cable Gland,Brass Cable Gland,Control Panel,Secures cable entry,
Cable Lug,Copper Cable Lug,Electrical Connection,Connects cable to terminal,
Flexible Conduit,PVC Flexible Conduit,Electrical Wiring,Protects electrical wires,
GI Conduit,Galvanized Iron Conduit,Electrical System,Protects wiring,
PVC Conduit,PVC Conduit,Electrical Wiring,Carries electrical cables,
Junction Box,Junction Box,Electrical Wiring,Provides cable connection point,
Pull Box,Pull Box,Conduit System,Eases cable pulling,
Panel Board,Distribution Panel,Electrical Room,Distributes power,
Distribution Board,Distribution Board (DB),Building Floor,Distributes electrical circuits,
Earthing Pit,Earthing Pit,Building Exterior,Provides grounding,
Earth Electrode,Copper Earth Electrode,Earthing System,Dissipates fault current,
Copper Strip,Copper Earthing Strip,Earthing System,Connects earthing system,
GI Strip,Galvanized Iron Strip,Earthing System,Earth conductor,
Lightning Arrester,Lightning Protection System,Building Roof,Protects building from lightning,
Smoke Detector,Smoke Detector,Fire Alarm System,Detects smoke,
Heat Detector,Heat Detector,Fire Alarm System,Detects high temperature,
Manual Call Point,Manual Call Point (MCP),Fire Alarm System,Manual fire alarm activation,
Hooter,Fire Alarm Hooter,Fire Alarm System,Provides audible alarm,
Fire Alarm Panel,Fire Alarm Control Panel,Control Room,Monitors fire alarm devices,
Response Indicator,Response Indicator,Outside Room,Indicates detector location,
Emergency Light,Emergency Light,Building Corridor,Provides light during power failure,
Exit Sign,Exit Sign Board,Escape Route,Shows emergency exit direction,
Battery Charger,Battery Charger,Fire Alarm Panel,Charges backup battery,
SMPS,Switched Mode Power Supply,Control Panel,Provides DC power supply,
UPS,Uninterruptible Power Supply,Server Room,Provides backup power,
Inverter,Inverter,Residential Building,Converts DC to AC,
Battery Bank,Battery Bank,UPS Room,Stores backup power,
Timer Relay,Timer Relay,Control Panel,Provides time delay operation,
Selector Switch,Selector Switch,Control Panel,Selects operating mode,
Anchor Bolt,Anchor Bolt,Pipe Support,Fixes support to concrete,
Chemical Anchor,Chemical Anchor,Pipe Support,Provides high-strength anchoring,
Expansion Bolt,Expansion Anchor Bolt,Concrete Wall,Fixes heavy supports,
Foundation Bolt,Foundation Bolt,Pump Foundation,Secures equipment to foundation,
Threaded Rod,GI Threaded Rod,Ceiling Support,Suspends pipe supports,
Hex Bolt,Hexagonal Bolt,Support Fabrication,Fastens components,
Hex Nut,Hexagonal Nut,Bolt Connection,Tightens bolted joints,
Spring Washer,Spring Washer,Bolt Connection,Prevents nut loosening,
Flat Washer,Flat Washer,Bolt Connection,Distributes bolt load,
U Bolt,U Bolt,Pipe Rack,Secures pipe to support,
Pipe Clamp,Pipe Clamp,Wall Mounted Pipe,Holds pipe firmly,
Rubber Lined Clamp,Rubber Lined Clamp,HVAC Pipe,Reduces vibration and noise,
Split Clamp,Split Pipe Clamp,Pipe Support,Secures pipe easily,
Riser Clamp,Riser Clamp,Vertical Pipe,Supports riser pipe,
Clevis Hanger,Clevis Pipe Hanger,Ceiling Pipe,Suspends horizontal pipe,
Pipe Hanger,Pipe Hanger,Ceiling Mounted Pipe,Supports pipeline,
Spring Hanger,Spring Pipe Hanger,Hot Water Line,Absorbs expansion,
Guide Support,Pipe Guide Support,Long Pipeline,Guides pipe movement,
Anchor Support,Pipe Anchor Support,Main Pipeline,Restricts pipe movement,
Roller Support,Pipe Roller Support,Long Pipeline,Allows thermal movement,
Pipe Shoe,Pipe Shoe,Steel Pipeline,Protects pipe at support point,
Cantilever Bracket,Cantilever Bracket,Wall Mounted Pipe,Supports pipe away from wall,
L Bracket,L Shape Bracket,Pipe Support,Supports small pipelines,
Channel Support,Unistrut Channel,Pipe Rack,Supports multiple pipes,
Base Plate,MS Base Plate,Pump Installation,Supports equipment,
Rubber Pad,Anti Vibration Pad,Pump Base,Reduces vibration,
Pipe Sleeve,PVC/MS Sleeve,Wall & Slab,Protects passing pipe,
Sleeve Seal,Mechanical Sleeve Seal,Wall Penetration,Prevents leakage,
Escutcheon Plate,Escutcheon Plate,Wash Basin Pipe,Covers wall opening,
Fire Stop Sealant,Fire Stop Sealant,Shaft Opening,Stops fire and smoke spread,
PTFE Tape,Polytetrafluoroethylene Tape,Threaded Pipe Joint,Prevents leakage,
PVC Solvent,PVC Solvent Cement,PVC Pipe Joint,Bonds PVC pipes,
UPVC Solvent,UPVC Solvent Cement,UPVC Pipe Joint,Bonds UPVC pipes,
CPVC Solvent,CPVC Solvent Cement,CPVC Pipe Joint,Bonds CPVC pipes,
PVC Primer,PVC Primer,PVC Pipe,Cleans and softens pipe surface,
Pipe Joint Compound,Pipe Joint Compound,Threaded Pipe Joint,Seals threaded joints,
Thread Sealant,Liquid Thread Sealant,Threaded Pipe Joint,Prevents leakage,
Silicone Sealant,Silicone Sealant,Sanitary Fixture,Seals joints,
Sanitary Silicone,Anti-Fungal Silicone,Bathroom,Prevents fungus and leakage,
PU Sealant,Polyurethane Sealant,Expansion Joint,Seals movement joints,
Epoxy Adhesive,Two Part Epoxy,Pipe Repair,Bonds damaged parts,
Epoxy Putty,Epoxy Repair Putty,Pipe Repair,Repairs small leaks,
Pipe Repair Clamp,Pipe Repair Clamp,Leaking Pipe,Temporary repair,
Rubber Repair Tape,Self Fusing Tape,Emergency Repair,Temporary leak sealing,
Gland Packing,Gland Packing,Pump & Valve,Prevents shaft leakage,
Graphite Packing,Graphite Packing,Steam Valve,High-temperature sealing,
O Ring,Rubber O Ring,Valve & Pump,Provides leak-proof sealing,
Rubber Gasket,Rubber Gasket,Flange Joint,Seals flange connection,
CAF Gasket,Compressed Asbestos Free Gasket,Flange Joint,Provides pressure sealing,
Spiral Wound Gasket,Spiral Wound Gasket,Industrial Pipeline,High-pressure flange sealing,
Neoprene Gasket,Neoprene Rubber Gasket,Water Line,Provides flexible sealing,
Nitrile Gasket,NBR Gasket,Oil Line,Resists oil leakage,
Flange Guard,Flange Safety Guard,Industrial Pipe,Protects from leakage spray,
Insulation Tape,PVC Insulation Tape,Electrical Work,Insulates electrical joints,
Heat Shrink Sleeve,Heat Shrink Tube,Cable Joint,Protects cable connection,
Cable Tie,Nylon Cable Tie,Cable Management,Bundles cables,
Pipe Marker,Pipe Marker,Pipeline,Identifies pipe service,
Flow Arrow,Flow Direction Sticker,Pipeline,Shows flow direction,
Warning Tape,Underground Warning Tape,Buried Pipeline,Marks underground pipeline,
Identification Label,Pipe Identification Label,Pipeline,Displays pipe name and service,
Pipe Wrench,Pipe Wrench,GI Pipe Installation,Tightens and loosens threaded pipes,
Adjustable Wrench,Adjustable Spanner,General Plumbing,Tightens different size nuts,
Combination Spanner,Combination Spanner,Pump & Valve Installation,Tightens bolts and nuts,
Ring Spanner,Ring Spanner,Mechanical Work,Tightens hex bolts,
Open End Spanner,Open End Spanner,General Work,Tightens open bolts,
Socket Wrench,Socket Wrench,Equipment Installation,Tightens socket bolts,
Allen Key,Hex Key,Water Mixer & Pump,Opens hex socket screws,
Screw Driver,Flat & Phillips Screwdriver,General Work,Tightens and loosens screws,
Hammer,Ball Peen Hammer,General Plumbing,Hits and fixes components,
Rubber Mallet,Rubber Hammer,PVC & Tile Work,Prevents surface damage,
Pipe Cutter,Pipe Cutter,"CPVC, Copper Pipe",Cuts pipe cleanly,
PVC Pipe Cutter,PVC Pipe Cutter,PVC & CPVC Pipe,Cuts plastic pipe,
Hacksaw,Hacksaw Frame,GI & PVC Pipe,Cuts pipe manually,
Angle Grinder,Angle Grinder,Steel Pipe,Cuts and grinds metal,
Bench Grinder,Bench Grinder,Workshop,Sharpens tools,
Pipe Threading Machine,Electric Threading Machine,GI Pipe,Cuts external threads,
Ratchet Die Set,Ratchet Pipe Die Set,GI Pipe,Threads small pipes,
Reamer,Pipe Reamer,Pipe End,Removes burrs after cutting,
Deburring Tool,Deburring Tool,Plastic & Metal Pipe,Smoothens cut edges,
Measuring Tape,Measuring Tape,Site Measurement,Measures distance,
Spirit Level,Spirit Level,Pipe Installation,Checks level and alignment,
Plumb Bob,Plumb Bob,Vertical Pipe,Checks vertical alignment,
Laser Level,Laser Level,MEP Installation,Provides accurate level line,
Chalk Line,Chalk Line,Site Layout,Marks straight reference line,
Center Punch,Center Punch,Metal Work,Marks drilling point,
Electric Drill,Rotary Drill Machine,Wall & Slab,Drills holes,
Hammer Drill,Rotary Hammer Drill,Concrete,Drills concrete,
Core Cutting Machine,Core Drill Machine,Wall & Slab,Creates large pipe openings,
Hole Saw,Hole Saw Cutter,PVC & GI Pipe,Cuts circular holes,
Tool Box,Tool Box,Site Work,Stores plumbing tools,
Pressure Gauge,Bourdon Pressure Gauge,Pump Room,Measures water pressure,
Digital Pressure Gauge,Digital Pressure Gauge,Hydro Test,Provides accurate pressure reading,
Compound Gauge,Compound Pressure Gauge,Pump Suction,Measures pressure and vacuum,
Vacuum Gauge,Vacuum Gauge,Pump Suction,Measures vacuum pressure,
Hydro Test Pump,Hydrostatic Test Pump,Pipeline Testing,Performs pressure test,
Air Compressor,Air Compressor,Air Pressure Test,Supplies compressed air,
Flow Meter,Electromagnetic Flow Meter,Main Water Line,Measures water flow,
Ultrasonic Flow Meter,Ultrasonic Flow Meter,Large Pipeline,Measures flow without cutting pipe,
Water Meter,Digital Water Meter,Building Inlet,Measures water consumption,
Thermometer,Digital Thermometer,Hot Water Line,Measures temperature,
Infrared Thermometer,IR Thermometer,Equipment,Non-contact temperature measurement,
Temperature Gauge,Temperature Gauge,HVAC,Measures water temperature,
TDS Meter,Total Dissolved Solids Meter,RO Plant,Measures water purity,
pH Meter,pH Meter,WTP & STP,Measures pH value,
Conductivity Meter,Conductivity Meter,WTP,Measures electrical conductivity,
ORP Meter,Oxidation Reduction Potential Meter,WTP,Measures oxidation level,
Clamp Meter,Clamp Meter,Electrical Panel,Measures current,
Digital Multimeter,Digital Multimeter,Electrical Testing,"Measures voltage, current and resistance",
Insulation Tester,Megger,Electrical Cable,Tests insulation resistance,
Earth Tester,Earth Resistance Tester,Earthing System,Measures earth resistance,
Sound Level Meter,Decibel Meter,Pump Room,Measures noise level,
Vibration Meter,Vibration Meter,Pump & Motor,Measures vibration,
Laser Distance Meter,Laser Distance Meter,Site Measurement,Measures distance accurately,
Vernier Caliper,Vernier Caliper,Workshop,Measures internal and external dimensions,
Micrometer Screw Gauge,Micrometer,Workshop,Measures very small thickness,
Stop Watch,Digital Stopwatch,Pump Testing,Measures testing time,
Tachometer,Digital Tachometer,Pump & Motor,Measures RPM,
Data Logger,Data Logger,Commissioning,Records testing data,
Leak Detector,Leak Detection Device,Pipeline,Detects leakage,
Inspection Camera,CCTV Inspection Camera,Drainage Pipe,Inspects inside pipeline,
Wall Hung WC,Wall Hung Water Closet,Bathroom,Toilet fixture fixed on wall,
Floor Mounted WC,Floor Mounted Water Closet,Bathroom,Toilet fixture fixed on floor,
One Piece WC,One Piece Water Closet,Residential Bathroom,Compact toilet unit,
Two Piece WC,Two Piece Water Closet,Residential Bathroom,Separate cistern and pan,
Squatting Pan,Indian Water Closet,Toilet,Indian style toilet,
Wash Basin,Ceramic Wash Basin,Bathroom,Hand washing,
Counter Basin,Counter Top Wash Basin,Vanity Area,Hand washing,
Under Counter Basin,Under Counter Wash Basin,Vanity,Installed below counter,
Pedestal Basin,Pedestal Wash Basin,Bathroom,Basin with pedestal support,
Corner Basin,Corner Wash Basin,Small Toilet,Saves space,
Kitchen Sink,Stainless Steel Kitchen Sink,Kitchen,Washing utensils,
Double Bowl Sink,Double Bowl Kitchen Sink,Kitchen,Two washing compartments,
Urinal,Wall Hung Urinal,Public Toilet,Urine disposal,
Sensor Faucet,Automatic Sensor Tap,Public Washroom,Touch-free operation,
Pillar Cock,Pillar Tap,Wash Basin,Water outlet,
Bib Cock,Bib Cock,Bathroom & Garden,Water outlet,
Angle Cock,Angle Cock,Basin & WC,ON/OFF water supply,
Stop Cock,Stop Valve,Main Line,Isolates water supply,
Health Faucet,Jet Spray,WC,Personal cleaning,
Soap Dispenser,Liquid Soap Dispenser,Wash Basin,Dispenses liquid soap,
Paper Holder,Toilet Paper Holder,WC,Holds toilet paper,
Hand Dryer,Electric Hand Dryer,Public Washroom,Dries hands,
Mirror,Bathroom Mirror,Wash Basin,User grooming,
Towel Ring,Towel Ring,Bathroom,Holds hand towel,
Towel Rail,Towel Rail,Bathroom,Holds bath towel,
Robe Hook,Coat Hook,Bathroom,Hangs clothes,
Glass Shelf,Glass Shelf,Bathroom,Holds toiletries,
Shower Curtain,Shower Curtain,Bathroom,Separates shower area,
Shower Panel,Shower Panel,Bathroom,Multi-function shower system,
Grab Bar,Grab Bar,Hospital & Accessible Toilet,Provides support and safety,
Floor Trap,Floor Trap,Bathroom,Collects floor water,
Nahani Trap,Nahani Trap,Bathroom,Drains bath water,
Bottle Trap,Bottle Trap,Wash Basin,Blocks sewer gas,
P Trap,P Trap,Basin & WC,Water seal,
S Trap,S Trap,Floor Mounted WC,Water seal,
Gully Trap,Gully Trap,Outside Building,Collects wastewater,
Intercepting Trap,Intercepting Trap,Sewer Line,Stops sewer gases,
Grease Trap,Grease Trap,Kitchen,Separates grease,
Oil Trap,Oil Separator,Garage,Separates oil,
Lint Trap,Lint Trap,Laundry,Collects lint,
Sand Trap,Sand Trap,Car Wash,Collects sand,
Cleanout,Cleanout,Drainage Pipe,Access for cleaning,
Cleanout Plug,Cleanout Plug,Drainage Pipe,Seals cleanout,
Inspection Chamber,Inspection Chamber,Drainage Line,Inspection access,
Manhole,Manhole,Sewer System,Underground access,
CI Manhole Cover,Cast Iron Manhole Cover,Manhole,Covers manhole,
RCC Manhole,Reinforced Cement Concrete Manhole,Sewer Line,Inspection chamber,
Vent Pipe,Vent Pipe,Drainage,Removes sewer gases,
Soil Pipe,Soil Waste Pipe,Toilet,Carries soil waste,
